to_char, description, time_measured, time_planned, delay
2018-02-12, DRUCKPRÜFUNG ROHRL., 28680.000, 13410.000, 4.20000000000000000000
2018-02-12, FABR. KONTROLLE, 1851420.000, 360036.000, 414.27333333333333333334
2018-02-12, FL.-/DRUCKFLIESSLÄP, 2249940.000, 95256.000, 598.52333333333333336667
2018-02-12, KAMMERRINGE PL4 FIN, 86040.000, 40680.000, 12.60000000000000000000
2018-02-12, KK-KÖRPER/KK-SCHUH, 180900.000, 18900.000, 45.0000000000000000
2018-02-12, KONTR. GROSSTEILE, 123000.000, 52200.000, 19.6666666666666667
2018-02-12, KONTR. HD-HYPER T., 213660.000, 92700.000, 33.60000000000000000000
2018-02-12, LÄPPEN, 7920.000, 5760.000, 0.60000000000000000000
2018-02-12, MALER KOMPR., 966060.000, 336780.000, 174.80000000000000000000
2018-02-12, MAT.-PRÜF.QUALITECH, 1294080.000, 329652.000, 267.8966666666666667
2018-02-12, MESSMASCHINE KLEIN, 73620.000, 41220.000, 9.00000000000000000000
2018-02-12, MONTAGE SCHUBST.-KK, 1114200.000, 171000.000, 262.0000000000000000
2018-02-12, OELABSTR. LAEPPEN, 6055200.000, 138600.000, 1643.5000000000000000
2018-02-12, RAD.-SCHLEIFMASCH., 536040.000, 141120.000, 109.70000000000000000000
2018-02-12, RADIALBOHRMASCHINEN, 63720.000, 27720.000, 10.00000000000000000000
2018-02-12, ROHRSCHLOSSER, 769500.000, 365580.000, 112.20000000000000000000
2018-02-12, RUNDSCHLEIFMASCH., 497340.000, 157860.000, 93.80000000000000000000
2018-02-12, SCHLEIF. HYPER KOMP, 379080.000, 137340.000, 67.15000000000000000000
2018-02-12, SCHLEIFEN, GRATEN, VERPUTZEN, 2130300.000, 211140.000, 533.10000000000000000000
2018-02-12, SCHLOSSER VERP. GTF, 539460.000, 323460.000, 60.00000000000000000000
2018-02-12, SCHR/SCHW.-D.LINDER, 43200.000, 27360.000, 4.4000000000000000
2018-02-12, SERVICE UND MONTAGE, 6660.000, 2340.000, 1.20000000000000000000
2018-02-12, SP.-DREHEN KLEIN, 435060.000, 120600.000, 88.10000000000000000000
2018-02-12, STELLZYLINDER MONT., 176580.000, 25380.000, 42.00000000000000000000
2018-02-12, ZELLE FRÄSEN/BOHREN, 11340.000, 7020.000, 1.20000000000000000000
2018-02-19, ABSÄGEN OPTIMO, 1603140.000, 67842.000, 426.66333333333333340002
2018-02-19, ANREISSPLATZ M./M., 111960.000, 47160.000, 18.00000000000000000000
2018-02-19, AUTOFRETTAGE, 1908000.000, 93600.000, 504.0000000000000000
2018-02-19, BAZ-MA-400HA, 104400.000, 64800.000, 11.0000000000000000
2018-02-19, CNC-BAZ DS ALPHA, 186300.000, 153900.000, 9.0000000000000000
2018-02-19, CNC-BAZ HEAVYSPEED, 169200.000, 158400.000, 3.0000000000000000
2018-02-19, DBAZ MCT 350-2000, 3726060.000, 315504.000, 947.37666666666666670000
2018-02-19, DBAZ MCT 550-2000, 2941020.000, 521100.000, 672.20000000000000000000
2018-02-19, DBAZ MCT 550-3000, 843660.000, 157320.000, 190.40000000000000000000
2018-02-19, DBAZ MCT 550-RS, 5660760.000, 442980.000, 1448.8000000000000000
2018-02-19, DBAZ MULTUS B200, 9031320.000, 191880.000, 2455.40000000000000000000
2018-02-19, DBAZ MULTUS B400, 6166620.000, 253080.000, 1642.15000000000000000000
2018-02-19, DRUCKPR. KLEINTEILE, 213420.000, 63360.000, 43.60000000000000000000
2018-02-19, DRUCKPRÜFUNG ROHRL., 115710.000, 60660.000, 15.13333333333333333333
2018-02-19, FABR. KONTROLLE, 1757580.000, 292644.000, 406.92666666666666666668
2018-02-19, FL.-/DRUCKFLIESSLÄP, 11880.000, 8280.000, 1.00000000000000000000
2018-02-19, HONMASCHINE, 42840.000, 24120.000, 5.2000000000000000
2018-02-19, KAMMERRINGE PL4 FIN, 27660.000, 15660.000, 3.3333333333333333
2018-02-19, KONTR. GROSSTEILE, 170820.000, 84420.000, 24.00000000000000000000
2018-02-19, KONTR. HD-HYPER T., 74340.000, 39060.000, 9.80000000000000000000
2018-02-19, MALER KLEIN, 545220.000, 224820.000, 89.00000000000000000000
2018-02-19, MALER KOMPR., 4140.000, 3060.000, 0.30000000000000000000
2018-02-19, MAT.-PRÜF.QUALITECH, 153720.000, 52452.000, 28.1300000000000000
2018-02-19, MESSMASCHINE GROSS, 100620.000, 36180.000, 17.90000000000000000000
2018-02-19, MESSMASCHINE KLEIN, 244620.000, 106740.000, 38.30000000000000000000
